date,open,high,low,close,volume
2001-08-27,3.89,4.25,3.7,4.0,40631800.0
2001-08-28,3.94,4.17,3.9,4.15,12964779.0
2001-08-29,4.16,4.17,4.06,4.1,5325275.0
2001-08-30,4.08,4.22,4.05,4.18,4801306.0
2001-08-31,4.18,4.24,4.14,4.17,2323148.0
2001-09-03,4.19,4.23,4.15,4.16,2211209.0
2001-09-04,4.17,4.29,4.15,4.22,3700677.0
2001-09-05,4.23,4.27,4.19,4.22,2606695.0
2001-09-06,4.2,4.22,4.11,4.13,2899703.0
2001-09-07,4.11,4.16,4.01,4.02,3155225.0
2001-09-10,3.99,4.15,3.94,4.13,1887889.0
2001-09-11,4.14,4.16,4.08,4.09,1139081.0
2001-09-12,3.98,4.08,3.97,4.05,2504519.0
2001-09-13,4.05,4.09,4.02,4.04,1098668.0
2001-09-14,4.05,4.11,4.03,4.09,767283.0
2001-09-17,4.06,4.09,4.0,4.03,898397.0
2001-09-18,4.04,4.11,4.04,4.08,1077326.0
2001-09-19,4.09,4.16,4.06,4.16,865053.0
2001-09-20,4.15,4.17,4.11,4.12,1117335.0
2001-09-21,4.08,4.12,4.05,4.06,787972.0
2001-09-24,4.06,4.1,4.05,4.06,406860.0
2001-09-25,4.08,4.11,4.06,4.08,348845.0
2001-09-26,4.07,4.11,4.05,4.06,495626.0
2001-09-27,4.06,4.16,4.05,4.13,877804.0
2001-09-28,4.15,4.19,4.11,4.18,1708847.0
2001-10-08,4.17,4.19,4.08,4.12,655217.0
2001-10-09,4.12,4.22,4.12,4.2,955852.0
2001-10-10,4.2,4.21,4.06,4.06,1754869.0
2001-10-11,4.05,4.11,4.01,4.02,1230684.0
2001-10-12,4.04,4.13,3.83,4.05,2001070.0
2001-10-15,4.04,4.05,3.93,3.97,975531.0
2001-10-16,3.95,4.03,3.91,3.92,831991.0
2001-10-17,3.92,3.92,3.82,3.85,1250768.0
2001-10-18,3.85,3.9,3.82,3.83,498346.0
2001-10-19,3.83,3.84,3.72,3.77,1568754.0
2001-10-22,3.75,3.79,3.68,3.69,976065.0
2001-10-23,4.05,4.06,3.94,4.06,4059824.0
2001-10-24,4.14,4.14,3.95,4.04,4068239.0
2001-10-25,4.02,4.03,3.92,3.93,1603686.0
2001-10-26,3.91,3.95,3.88,3.94,900220.0
2001-10-29,3.93,4.01,3.93,3.97,458786.0
2001-10-30,3.97,4.0,3.93,3.94,348417.0
2001-10-31,3.94,3.95,3.92,3.95,476247.0
2001-11-01,3.95,4.01,3.93,4.0,664303.0
2001-11-02,3.97,4.02,3.96,3.98,343520.0
2001-11-05,3.94,3.97,3.91,3.93,369076.0
2001-11-06,3.92,3.97,3.91,3.96,260931.0
2001-11-07,3.94,3.94,3.81,3.81,932538.0
2001-11-08,3.75,3.82,3.71,3.79,740216.0
2001-11-09,3.79,3.88,3.75,3.84,376076.0
2001-11-12,3.87,3.87,3.77,3.78,268333.0
2001-11-13,3.75,3.79,3.74,3.79,267381.0
2001-11-14,3.79,3.83,3.79,3.79,76900.0
2001-11-15,3.79,3.81,3.77,3.79,219345.0
2001-11-16,4.08,4.08,3.83,3.84,995470.0
2001-11-19,3.84,3.95,3.84,3.95,373461.0
2001-11-20,3.96,4.0,3.93,3.98,806908.0
2001-11-21,3.99,4.0,3.93,3.96,511442.0
2001-11-22,3.97,3.97,3.93,3.95,419879.0
2001-11-23,3.94,3.97,3.92,3.94,396090.0
2001-11-26,3.94,3.94,3.88,3.9,310099.0
2001-11-27,3.89,3.95,3.89,3.94,256948.0
2001-11-28,3.95,3.98,3.93,3.95,377362.0
2001-11-29,3.94,3.96,3.92,3.92,304618.0
2001-11-30,3.92,3.99,3.92,3.98,407097.0
2001-12-03,3.98,4.08,3.98,4.07,1603705.0
2001-12-04,4.08,4.08,4.03,4.08,689499.0
2001-12-05,4.17,4.17,4.05,4.05,1502835.0
2001-12-06,4.04,4.09,4.03,4.06,637222.0
2001-12-07,4.06,4.08,4.03,4.04,390820.0
2001-12-10,4.05,4.06,4.02,4.05,416156.0
2001-12-11,4.05,4.05,4.01,4.01,358002.0
2001-12-12,4.01,4.06,4.01,4.03,463267.0
2001-12-13,4.01,4.05,3.96,3.97,354045.0
2001-12-14,3.94,4.0,3.94,3.96,284125.0
2001-12-17,3.95,4.01,3.95,3.98,441389.0
2001-12-18,3.99,4.05,3.95,4.04,482120.0
2001-12-19,4.04,4.11,4.01,4.05,962001.0
2001-12-20,4.04,4.04,3.9,3.91,1136223.0
2001-12-21,3.91,4.05,3.91,4.04,813504.0
2001-12-24,4.05,4.19,4.03,4.1,2725079.0
2001-12-25,4.1,4.13,4.05,4.11,1218260.0
2001-12-26,4.11,4.19,4.06,4.19,1680952.0
2001-12-27,4.19,4.26,4.16,4.2,2328478.0
2001-12-28,4.2,4.23,4.15,4.2,1227932.0
2001-12-31,4.24,4.42,4.22,4.34,5219541.0
2002-01-04,4.36,4.37,4.22,4.23,2910962.0
2002-01-07,4.18,4.22,4.13,4.2,1894295.0
2002-01-08,4.17,4.23,4.11,4.12,1328664.0
2002-01-09,4.11,4.19,4.09,4.15,1060682.0
2002-01-10,4.16,4.21,4.09,4.19,1881555.0
2002-01-11,4.17,4.18,4.05,4.06,1183475.0
2002-01-14,4.02,4.1,3.99,4.06,1871851.0
2002-01-15,4.05,4.17,4.04,4.11,1824741.0
2002-01-16,4.11,4.16,3.99,4.09,1397433.0
2002-01-17,4.08,4.11,3.91,3.95,2418031.0
2002-01-18,3.92,4.15,3.91,4.13,3226208.0
2002-01-21,4.09,4.12,4.01,4.04,1575593.0
2002-01-22,4.03,4.16,4.03,4.1,1348567.0
2002-01-23,4.13,4.24,4.08,4.24,2333648.0
2002-01-24,4.21,4.26,4.14,4.2,2661580.0
2002-01-25,4.19,4.23,4.14,4.18,1394112.0
2002-01-28,4.17,4.2,3.97,4.0,2166782.0
2002-01-29,3.96,4.08,3.94,4.01,1187200.0
2002-01-30,4.01,4.08,3.96,4.01,841922.0
2002-01-31,4.05,4.28,4.05,4.23,4082830.0
2002-02-01,4.22,4.28,4.15,4.17,1734503.0
2002-02-04,4.19,4.29,4.17,4.27,1651019.0
2002-02-05,4.27,4.35,4.24,4.27,1119573.0
2002-02-06,4.26,4.29,4.18,4.19,966854.0
2002-02-07,4.19,4.27,4.18,4.21,668817.0
2002-02-08,4.23,4.3,4.23,4.24,1256931.0
2002-02-26,4.28,4.33,4.22,4.25,1481599.0
2002-02-27,4.26,4.29,4.22,4.27,829081.0
2002-02-28,4.28,4.33,4.25,4.28,1250698.0
2002-03-01,4.27,4.29,4.19,4.21,742145.0
2002-03-04,4.2,4.29,4.18,4.28,522485.0
2002-03-05,4.28,4.4,4.26,4.34,2218887.0
2002-03-06,4.37,4.4,4.28,4.32,1862014.0
2002-03-07,4.3,4.35,4.28,4.33,1361602.0
2002-03-08,4.34,4.48,4.34,4.46,3532681.0
2002-03-11,4.47,4.47,4.4,4.44,1760600.0
2002-03-12,4.44,4.44,4.33,4.33,1725185.0
2002-03-13,4.31,4.37,4.3,4.31,779399.0
2002-03-14,4.29,4.36,4.28,4.35,638774.0
2002-03-15,4.28,4.38,4.26,4.27,1189288.0
2002-03-18,4.29,4.37,4.27,4.28,607027.0
2002-03-19,4.29,4.38,4.28,4.36,677404.0
2002-03-20,4.37,4.45,4.36,4.39,1503133.0
2002-03-21,4.42,4.45,4.35,4.38,1503721.0
2002-03-22,4.38,4.39,4.33,4.34,797276.0
2002-03-25,4.33,4.38,4.31,4.37,431507.0
2002-03-26,4.36,4.37,4.29,4.3,623909.0
2002-03-27,4.29,4.33,4.27,4.29,499101.0
2002-03-28,4.28,4.31,4.28,4.28,529157.0
2002-03-29,4.28,4.28,4.18,4.19,1062547.0
2002-04-01,4.18,4.25,4.18,4.23,276605.0
2002-04-02,4.23,4.25,4.14,4.17,732933.0
2002-04-03,4.17,4.2,4.15,4.16,601945.0
2002-04-04,4.16,4.23,4.11,4.23,516143.0
2002-04-05,4.25,4.27,4.18,4.2,304685.0
2002-04-08,4.2,4.21,4.16,4.17,230046.0
2002-04-09,4.17,4.22,4.15,4.21,329157.0
2002-04-10,4.21,4.25,4.19,4.22,342383.0
2002-04-11,4.22,4.26,4.21,4.22,679799.0
2002-04-12,4.24,4.3,4.22,4.28,451928.0
2002-04-15,4.33,4.33,4.23,4.27,292594.0
2002-04-16,4.26,4.31,4.26,4.31,603615.0
2002-04-17,4.33,4.33,4.15,4.16,1321928.0
2002-04-18,4.17,4.19,4.1,4.1,853815.0
2002-04-19,4.1,4.1,4.04,4.08,885432.0
2002-04-22,4.05,4.1,4.04,4.07,411365.0
2002-04-23,4.07,4.07,4.0,4.0,408822.0
2002-04-24,4.0,4.04,3.96,3.97,505088.0
2002-04-25,3.95,4.02,3.95,4.0,259676.0
2002-04-26,4.0,4.06,3.99,4.06,238123.0
2002-04-29,4.08,4.17,4.08,4.09,466521.0
2002-04-30,4.11,4.12,4.05,4.08,597847.0
2002-05-08,4.09,4.11,4.06,4.08,170049.0
2002-05-09,4.05,4.1,4.05,4.06,171221.0
2002-05-10,4.06,4.07,4.01,4.01,268850.0
2002-05-13,4.0,4.02,3.98,3.99,283074.0
2002-05-14,3.99,4.11,3.96,3.99,507003.0
2002-05-15,4.02,4.02,3.96,3.98,224430.0
2002-05-16,3.97,3.98,3.93,3.94,554983.0
2002-05-17,3.93,4.01,3.91,3.94,385968.0
2002-05-20,3.94,3.94,3.88,3.89,335369.0
2002-05-21,4.0,4.0,3.93,3.94,570700.0
2002-05-22,3.95,3.99,3.93,3.94,297406.0
2002-05-23,4.04,4.04,3.95,3.96,161990.0
2002-05-24,3.94,3.96,3.9,3.93,240735.0
2002-05-27,3.94,3.98,3.93,3.95,165326.0
2002-05-28,3.96,4.0,3.95,3.96,261490.0
2002-05-29,3.96,3.98,3.9,3.91,268474.0
2002-05-30,3.93,3.95,3.9,3.92,196225.0
2002-05-31,3.94,3.96,3.92,3.93,180610.0
2002-06-03,3.93,3.94,3.89,3.93,229022.0
2002-06-04,3.93,3.94,3.83,3.88,197600.0
2002-06-05,3.88,3.88,3.84,3.87,222475.0
2002-06-06,3.87,3.99,3.84,3.94,575740.0
2002-06-07,3.92,3.96,3.9,3.93,362216.0
2002-06-10,3.94,3.95,3.89,3.9,183253.0
2002-06-11,3.91,3.94,3.9,3.92,153920.0
2002-06-12,3.92,3.95,3.89,3.95,208220.0
2002-06-13,3.95,3.97,3.93,3.93,162300.0
2002-06-14,3.93,3.96,3.9,3.9,94711.0
2002-06-17,3.89,3.9,3.86,3.9,135810.0
2002-06-18,3.91,3.95,3.91,3.94,163699.0
2002-06-19,3.93,3.94,3.91,3.91,83350.0
2002-06-20,3.94,3.95,3.91,3.93,131920.0
2002-06-21,3.94,4.02,3.93,4.0,426651.0
2002-06-24,4.4,4.4,4.17,4.3,6125441.0
2002-06-26,4.2,4.21,4.12,4.15,1542300.0
2002-06-27,4.15,4.19,4.12,4.14,558178.0
2002-06-28,4.13,4.21,4.13,4.17,1076373.0
2002-07-01,4.17,4.22,4.14,4.14,432000.0
2002-07-02,4.14,4.14,4.12,4.14,393507.0
2002-07-03,4.14,4.15,4.11,4.13,533312.0
2002-07-04,4.13,4.13,4.05,4.06,666987.0
2002-07-05,4.06,4.07,4.05,4.07,681567.0
2002-07-08,4.07,4.1,4.06,4.07,319272.0
2002-07-09,4.07,4.08,4.06,4.07,352323.0
2002-07-10,4.07,4.08,4.01,4.02,462279.0
2002-07-11,4.01,4.08,4.01,4.05,235761.0
2002-07-12,4.05,4.07,4.03,4.06,158849.0
2002-07-15,4.05,4.07,4.04,4.04,130858.0
2002-07-16,4.02,4.07,4.02,4.04,231649.0
2002-07-17,4.05,4.05,4.01,4.04,134219.0
2002-07-18,4.06,4.11,4.05,4.08,589389.0
2002-07-19,4.09,4.1,4.08,4.1,251689.0
2002-07-22,4.13,4.13,4.09,4.1,610357.0
2002-07-23,4.1,4.1,4.05,4.08,290158.0
2002-07-24,4.09,4.11,4.06,4.1,466387.0
2002-07-25,4.11,4.13,4.04,4.07,170042.0
2002-07-26,4.09,4.09,4.04,4.05,155824.0
2002-07-29,4.05,4.06,3.98,3.99,255748.0
2002-07-30,3.99,4.0,3.96,3.97,344596.0
2002-07-31,3.97,3.99,3.93,3.94,257985.0
2002-08-01,3.94,3.97,3.92,3.93,200089.0
2002-08-02,3.94,4.0,3.91,3.96,125388.0
2002-08-05,3.96,3.97,3.93,3.94,107812.0
2002-08-06,3.94,3.98,3.93,3.96,209237.0
2002-08-07,3.96,3.97,3.95,3.96,135579.0
2002-08-08,3.96,3.98,3.93,3.94,126460.0
2002-08-09,3.93,3.95,3.9,3.9,249020.0
2002-08-12,3.88,3.89,3.85,3.85,225050.0
2002-08-13,3.87,3.87,3.83,3.85,170413.0
2002-08-14,3.9,3.9,3.85,3.9,247246.0
2002-08-15,3.9,3.9,3.87,3.87,125955.0
2002-08-16,3.84,3.89,3.82,3.88,224098.0
2002-08-19,3.88,3.89,3.85,3.86,110896.0
2002-08-20,3.85,3.9,3.85,3.89,237211.0
2002-08-21,3.9,3.9,3.87,3.89,169451.0
2002-08-22,3.9,3.95,3.89,3.93,422034.0
2002-08-23,3.92,3.95,3.92,3.93,243141.0
2002-08-26,3.92,3.92,3.86,3.87,263149.0
2002-08-27,3.87,3.89,3.85,3.88,258441.0
2002-08-28,3.89,3.92,3.84,3.85,376582.0
2002-08-29,3.85,3.86,3.83,3.84,289937.0
2002-08-30,3.85,3.85,3.83,3.84,188668.0
2002-09-02,3.83,3.84,3.82,3.83,234130.0
2002-09-03,3.83,3.89,3.83,3.86,227701.0
2002-09-04,3.86,3.88,3.83,3.85,178869.0
2002-09-05,3.84,3.84,3.82,3.82,289369.0
2002-09-06,3.82,3.84,3.8,3.82,185962.0
2002-09-09,3.82,3.82,3.78,3.79,261390.0
2002-09-10,3.78,3.79,3.71,3.73,805712.0
2002-09-11,3.71,3.73,3.6,3.66,984529.0
2002-09-12,3.65,3.68,3.62,3.66,171659.0
2002-09-13,3.65,3.67,3.64,3.67,107173.0
2002-09-16,3.67,3.67,3.61,3.61,392351.0
2002-09-17,3.62,3.66,3.6,3.64,261349.0
2002-09-18,3.65,3.65,3.62,3.64,161606.0
2002-09-19,3.63,3.67,3.6,3.65,365015.0
2002-09-20,3.65,3.65,3.61,3.62,137298.0
2002-09-23,3.61,3.62,3.58,3.58,212110.0
2002-09-24,3.58,3.58,3.51,3.52,714854.0
2002-09-25,3.52,3.59,3.52,3.56,355709.0
2002-09-26,3.57,3.57,3.53,3.53,216807.0
2002-09-27,3.54,3.57,3.52,3.55,150545.0
2002-10-08,3.54,3.54,3.52,3.54,358977.0
2002-10-09,3.53,3.53,3.47,3.49,245871.0
2002-10-10,3.49,3.53,3.48,3.5,108767.0
2002-10-11,3.49,3.51,3.46,3.47,121705.0
2002-10-14,3.51,3.51,3.47,3.48,109529.0
2002-10-15,3.48,3.5,3.47,3.5,206594.0
2002-10-16,3.5,3.55,3.5,3.51,226133.0
2002-10-17,3.51,3.53,3.46,3.47,156480.0
2002-10-18,3.46,3.49,3.34,3.38,463533.0
2002-10-21,3.37,3.43,3.34,3.38,164605.0
2002-10-22,3.4,3.47,3.39,3.45,210571.0
2002-10-23,3.46,3.46,3.4,3.42,108078.0
2002-10-24,3.41,3.45,3.41,3.41,97060.0
2002-10-25,3.41,3.41,3.35,3.36,236812.0
2002-10-28,3.35,3.35,3.26,3.27,447153.0
2002-10-29,3.34,3.34,3.22,3.3,319869.0
2002-10-30,3.31,3.31,3.27,3.28,203557.0
2002-10-31,3.28,3.33,3.27,3.29,281730.0
2002-11-01,3.28,3.31,3.27,3.3,147119.0
2002-11-04,3.3,3.36,3.3,3.36,199503.0
2002-11-05,3.36,3.42,3.34,3.39,348538.0
2002-11-06,3.39,3.4,3.36,3.36,162265.0
2002-11-07,3.37,3.38,3.34,3.35,241652.0
2002-11-08,3.42,3.42,3.27,3.28,271756.0
2002-11-11,3.29,3.32,3.25,3.28,188282.0
2002-11-12,3.28,3.31,3.24,3.25,239589.0
2002-11-13,3.25,3.27,3.23,3.27,195368.0
2002-11-14,3.27,3.29,3.25,3.25,168832.0
2002-11-15,3.25,3.28,3.23,3.25,234901.0
2002-11-18,3.25,3.28,3.25,3.27,194719.0
2002-11-19,3.27,3.34,3.26,3.33,321819.0
2002-11-20,3.33,3.36,3.26,3.32,957938.0
2002-11-21,3.3,3.32,3.25,3.26,401953.0
2002-11-22,3.27,3.31,3.22,3.26,242925.0
