code,ipo_amount
000001,27000000.0
000002,27580000.0
000006,6900000.0
000011,147700000.0
000012,57460000.0
000016,116000000.0
000021,119388750.0
000027,368300000.0
000028,103000000.0
000030,193570800.00000003
000031,284660000.0
000036,86886800.0
000039,100000000.0
000042,166670000.0
000050,46000000.0
000059,681200000.0
000060,135000000.0
000061,151620000.0
000062,196740000.0
000063,428350000.0
000066,364260000.0
000069,299000000.0
000088,647700000.0
000089,621779692.0
000090,450090000.0
000100,2419905100.0
000156,311760000.0
000157,614470000.0
000166,39520606988.0
000301,425760000.0
000333,30510290214.0
000338,3799308008.9999995
000401,310300000.0
000402,105000000.0
000415,70625000.0
000417,94361119.0
000423,55269399.99999999
000425,110400000.0
000429,528000000.0
000488,1424299908.0
000513,82940000.0
000525,67000000.0
000528,200000000.0
000531,94950000.0
000536,55173250.0
000537,119572000.0
000538,67600000.0
000539,426800000.0
000541,190000000.0
000543,556000000.0
000550,352800000.0
000559,111000000.0
000568,124497200.0
000581,569520000.0
000596,161120000.0
000598,138500000.0
000600,70598300.0
000601,207180000.0
000603,96937500.0
000612,211266000.0
000617,99000000.0
000620,127920000.0
000623,92616000.0
000625,748850000.0
000629,84700000.0
000630,154380000.0
000631,106080000.0
000651,117500000.0
000656,37000000.0
000672,20000000.0
000685,103040000.0
000686,71154000.0
000690,82875000.0
000703,132000000.0
000708,595700000.0
000709,1072800000.0
000717,605600000.0
000718,375600000.0
000719,9775000.0
000723,166500000.0
000725,974900000.0
000726,866700000.0
000728,560670676.0
000729,570400000.0
000731,195363000.0
000750,270240600.0
000761,628800000.0
000767,84000000.0
000768,357000000.0
000776,102000000.0
000778,770480000.0
000783,688800000.0
000786,257259775.0
000789,204500000.0
000792,210020000.0
000800,2009020000.0
000807,378400000.0
000825,1056000000.0
000826,200200000.0
000828,916800000.0
000830,319920000.0
000839,343283000.0
000848,185310000.0
000858,1165600000.0
000860,399700000.0
000863,71370000.0
000869,613460000.0
000876,267520000.0
000877,255500000.0
000878,734600000.0
000883,307800000.0
000887,255570000.0
000895,300460000.0
000898,1148221827.0
000899,584800000.0
000900,817000000.0
000902,298012100.0
000903,375000000.0
000912,871980000.0
000919,655900000.0
000921,1067040000.0
000926,284350000.0
000932,1031100000.0
000933,511700000.0
000937,765430000.0
000938,457400000.0
000951,323965400.0
000959,1769470000.0
000963,276330000.0
000970,252150000.0
000975,513160000.0
000981,421500000.0
000983,1821737600.0
000987,236060000.0
000989,345300000.0
000997,479790000.0
000998,694000000.0
000999,1666250000.0
001696,24800000.0
001872,138000000.0
001965,4538532828.0
001979,44793421036.0
002001,383588800.0
002003,145181300.0
002004,201920000.0
002007,329852300.00000006
002008,238489495.0
002010,188940000.0
002014,189885800.00000003
002016,177378300.00000003
002019,176281294.00000003
002022,190506740.0
002024,394602063.0
002027,287683800.0
002028,209935000.0
002032,394281809.99999994
002035,187040400.0
002038,212020099.99999997
002042,131235386.99999999
002050,205561909.0
002051,422704100.00000006
002056,610406200.0
002065,296456000.0
002069,673321900.0
002078,1203000000.0
002080,322164074.0
002081,290847500.0
002083,503725700.0
002085,434279900.0
002091,236070000.0
002092,632335000.0
002099,293201800.0
002106,932657000.0
002110,573901530.0
002117,272764800.0
002120,161680500.0
002128,729628000.0
002138,307760000.0
002142,4026960000.0
002146,878074317.0
002152,585414353.0
002158,324110400.0
002183,730340378.0
002187,449590000.0
002191,1151869500.0
002194,1087191352.0
002202,1744663842.0
002203,585913200.0
002206,446277000.0
002223,227259088.0
002230,314144834.0
002233,966451200.0
002236,389553000.0
002238,445435600.0
002241,532398643.0
002242,1458310000.0
002244,1169009250.0
002249,784611000.0
002251,869394820.0
002252,477541700.0
002267,1013849483.9999999
002269,1335332190.0
002271,209963893.0
002275,859278300.0
002287,451200110.0
002293,907133000.0
002294,1140673700.0
002299,764955846.0
002300,668597975.0
002303,1095204900.0
002304,2600329500.0
002311,1510998000.0
002314,1177698020.0
002315,1184840700.0
002317,1046396357.0
002327,734972329.0
300003,1139607500.0
300015,881976500.0
300033,842548500.0
300039,973757555.0
300498,6950645187.0
600000,3955000000.0
600004,2282636000.0
600006,1501427663.0
600007,854240000.0
600008,2670971300.0
600009,1900700000.0
600010,1756974500.0
600011,2746680000.0
600012,526959995.0
600015,5437959300.000001
600016,4088745000.0
600018,8887677719.0
600019,7702894676.0
600020,1727538134.0000002
600021,1353388000.0
600022,1349302700.0
600023,5869672106.0
600026,798704000.0
600027,1886550100.0
600028,11576084200.0
600029,2640767180.0
600030,1759673375.0
600031,899894400.0
600033,1296336000.0
600035,804980000.0
600036,10742890000.0
600037,1205000000.0
600038,456000000.0
600039,658030000.0
600048,2018560000.0
600050,11260680000.0
600056,201990000.0
600057,171200000.0
600058,625612134.0
600060,425600000.0
600061,177880000.0
600062,305030000.0
600064,380000000.0
600066,330750000.0
600067,3800000.0
600085,342485600.0
600089,148200000.0
600096,607000000.0
600098,772500000.0
600100,338760000.0
600104,2082000000.0
600109,22000000.0
600111,342400000.0
600114,431996900.0
600115,720850000.0
600118,123700000.0
600120,75228600.0
600123,314600000.0
600125,163572000.0
600126,531664700.0
600132,213020000.0
600138,379200000.0
600141,180620000.0
600143,473114000.0
600150,260230000.0
600153,291587500.0
600157,19000000.0
600160,443416834.0
600162,131950000.0
600166,310000000.0
600167,356300000.0
600168,569980000.0
600170,979500000.0
600176,200070000.0
600177,585000000.0
600183,344250000.0
600185,307011360.0
600188,259522000.0
600195,487367500.0
600196,348340000.0
600197,453750000.0
600201,229250000.0
600208,313300000.0
600210,652110000.0
600216,285947800.0
600219,687600000.0
600221,921572709.9999999
600231,540000000.0
600233,269500000.0
600236,689700000.0
600246,195790000.0
