code,name,div_per_10,total_shares,ex_date,amount
000810,创维数字,0.75,73883600.0,2001-02-27,5541270.0
000837,秦川机床,1.0,132924000.0,2001-03-07,13292400.0
600795,国电电力,2.0,458265600.0,2001-03-16,91653120.0
600660,福耀玻璃,2.7,254725513.0,2001-03-27,68775888.51
000962,东方钽业,1.25,297000000.0,2001-03-27,37125000.0
600726,华电能源,1.2,700790600.0,2001-03-29,84094872.0
600674,川投能源,0.75,241380290.0,2001-03-30,18103521.75
600699,均胜电子,0.375,158915525.0,2001-04-05,5959332.1875
000990,诚志股份,1.0,119500000.0,2001-04-03,11950000.0
000650,仁和药业,0.5,111168000.0,2001-04-06,5558400.0
600746,江苏索普,0.5,170234140.0,2001-04-04,8511707.0
600110,诺德股份,1.0,115648000.0,2001-04-06,11564800.0
600339,中油工程,1.5,170000000.0,2001-04-06,25500000.0
600125,铁龙物流,1.5,190776000.0,2001-04-06,28616400.0
600226,亨通股份,1.0,176037600.0,2001-04-10,17603760.0
600779,水井坊,1.0,407532453.0,2001-04-10,40753245.300000004
000969,安泰科技,2.33,152600000.0,2001-04-11,35555800.0
000933,神火股份,4.0,228680000.0,2001-04-11,91472000.0
600884,杉杉股份,1.0,237830910.0,2001-04-11,23783091.0
000850,华茂股份,1.8378,185000000.0,2001-04-10,33999300.0
000913,钱江摩托,1.2,260000000.0,2001-04-11,31200000.0
600717,天津港,1.0,366585444.0,2001-04-12,36658544.4
600210,紫江企业,3.0,323400000.0,2001-04-13,97020000.0
000537,绿发电力,0.5,213762445.0,2001-04-12,10688122.25
600785,新华百货,1.0,87975000.0,2001-04-13,8797500.0
600061,国投资本,0.5,143506000.0,2001-04-13,7175300.0
600202,哈空调,2.0,111696000.0,2001-04-17,22339200.0
600084,*ST尼雅,1.0,180908000.0,2001-04-17,18090800.0
000559,万向钱潮,1.8266,309709641.0,2001-04-17,56571563.02506
000920,沃顿科技,3.0,190000000.0,2001-04-17,57000000.0
600790,轻纺城,1.0,232412929.0,2001-04-18,23241292.900000002
600071,凤凰光学,0.75,107453600.0,2001-04-18,8059020.0
000596,古井贡酒,3.0,235000000.0,2001-04-18,70500000.0
600160,巨化股份,2.5,341000000.0,2001-04-19,85250000.0
600309,万华化学,1.0,120000000.0,2001-04-19,12000000.0
000936,华西股份,1.0,140000000.0,2001-04-19,14000000.0
000906,浙商中拓,0.2,125000000.0,2001-04-19,2500000.0
600287,苏豪时尚,3.6,152725900.0,2001-04-20,54981324.0
600756,浪潮软件,1.0,110147200.0,2001-04-20,11014720.0
600151,航天机电,2.0,292400000.0,2001-04-20,58480000.0
000518,四环生物,0.375,133742400.0,2001-04-20,5015340.0
000970,中科三环,2.0,87000000.0,2001-04-19,17400000.0
600738,丽尚国潮,1.0,117198560.0,2001-04-24,11719856.0
600177,雅戈尔,2.0,568095052.0,2001-04-24,113619010.4
600062,华润双鹤,1.0,305695000.0,2001-04-24,30569500.0
000425,徐工机械,0.8,352740992.0,2001-04-23,28219279.36
000759,中百集团,2.0,175669000.0,2001-04-23,35133800.0
600059,古越龙山,2.0,206000000.0,2001-04-24,41200000.0
600422,昆药集团,1.53,98180000.0,2001-04-24,15021540.0
600366,宁波韵升,1.5,127100000.0,2001-04-26,19065000.0
000789,万年青,1.25,340500000.0,2001-04-26,42562500.0
600866,星湖科技,1.0,250530062.0,2001-04-25,25053006.200000003
600895,张江高科,0.77,304290000.0,2001-04-25,23430330.0
000731,四川美丰,1.0,222332000.0,2001-04-24,22233200.0
000711,ST京蓝,0.4,107265600.0,2001-04-25,4290624.0
600178,东安动力,2.5,422500000.0,2001-04-26,105625000.0
000988,华工科技,3.0,115000000.0,2001-04-26,34500000.0
000978,桂林旅游,2.6,118000000.0,2001-04-26,30680000.0
600777,新潮能源,1.5,204869501.0,2001-04-27,30730425.15
000822,山东海化,2.3,420000000.0,2001-04-27,96599999.99999999
600378,昊华科技,0.8,115723900.0,2001-04-27,9257912.0
600879,航天电子,0.4512,161472114.0,2001-05-08,7285621.78368
000690,宝新能源,2.0,193500000.0,2001-04-30,38700000.0
600359,新农开发,2.5,294000000.0,2001-05-08,73500000.0
600805,悦达投资,0.4,545445188.0,2001-05-08,21817807.52
600098,广州发展,1.35,1252800000.0,2001-05-09,169128000.0
600135,乐凯胶片,3.0,285000000.0,2001-05-09,85500000.0
600161,天坛生物,2.0,192000000.0,2001-05-10,38400000.0
600101,明星电力,2.0,146443860.0,2001-05-10,29288772.0
600227,赤天化,2.5,170000000.0,2001-05-10,42500000.0
600219,南山铝业,1.5,257000000.0,2001-05-10,38550000.0
600389,江山股份,1.0,150000000.0,2001-05-10,15000000.0
000423,东阿阿胶,2.0,209595667.0,2001-05-11,41919133.400000006
000831,中国稀土,1.0,242000000.0,2001-05-10,24200000.0
600276,恒瑞医药,1.0,132850000.0,2001-05-11,13285000.0
600846,同济科技,1.0,244311531.0,2001-05-11,24431153.1
000037,深南电A,0.7132,369766000.0,2001-05-09,26371711.119999997
600782,新钢股份,0.9,120762734.0,2001-05-11,10868646.06
000630,铜陵有色,1.0,465556000.0,2001-05-11,46555600.0
600218,全柴动力,1.5,260000000.0,2001-05-11,39000000.0
600850,电科数字,0.5,114021000.0,2001-05-11,5701050.0
000612,焦作万方,1.0,269647572.0,2001-05-11,26964757.200000003
000557,西部创业,3.0,505261380.0,2001-05-15,151578414.0
000403,派林生物,1.0,196683491.0,2001-05-14,19668349.1
600217,中再资环,0.5,206500000.0,2001-05-15,10325000.0
600862,中航高科,1.2,198703970.0,2001-05-15,23844476.4
000989,九芝堂,4.0,128620000.0,2001-05-14,51448000.0
