code,name,div_per_10,total_shares,ex_date
920061,西磁科技,1.34,51550000,2021-08-17
300441,鲍斯股份,1.5,657189708,2021-08-20
605499,东鹏饮料,15.0,400010000,2021-08-26
002978,安宁股份,12.5,401000000,2021-09-06
000822,山东海化,1.1,895091926,2021-09-03
920475,三友科技,2.0,57200000,2021-09-08
600681,百川能源,1.8,1363010801,2021-09-07
920395,朗鸿科技,7.0,38680000,2021-09-09
002932,*ST明德,15.0,96618085,2021-09-07
300984,金沃股份,5.0,48000000,2021-09-08
688700,东威科技,3.0,147200000,2021-09-09
920273,一致魔芋,4.0,58229000,2021-09-13
300997,欢乐家,1.0,450000000,2021-09-14
603997,继峰股份,1.8,1093813362,2021-09-13
300158,振东制药,1.0,1027494660,2021-09-13
300763,锦浪科技,5.0,247580246,2021-09-14
605167,利柏特,1.12,449070000,2021-09-15
002132,恒星科技,0.5,1256498403,2021-09-15
002154,报喜鸟,1.5,1217611874,2021-09-16
920982,锦波生物,5.0,62336000,2021-09-16
300975,商络电子,0.5,420000000,2021-09-17
920030,德众汽车,0.670992,178839681,2021-09-22
601857,中国石油,1.304,183020977818,2021-09-17
002697,红旗连锁,0.74,1360000000,2021-09-16
600028,中国石化,1.6,121071209646,2021-09-17
688269,凯立新材,6.0,93360000,2021-09-17
000818,航锦科技,1.2,682614000,2021-09-16
301003,江苏博云,10.0,58266667,2021-09-17
603208,江山欧派,12.2,105060879,2021-09-17
300979,华利集团,10.0,1167000000,2021-09-16
600389,江山股份,10.0,297000000,2021-09-17
301042,安联锐视,8.0,68800000,2021-09-22
301035,润丰股份,5.4,276180000,2021-09-23
601238,广汽集团,0.5,10355595768,2021-09-22
301005,超捷股份,4.5,57126903,2021-09-23
000928,中钢国际,1.0,1256662942,2021-09-24
688793,倍轻松,4.86,61640000,2021-09-22
605098,行动教育,7.0,84341857,2021-09-22
300995,奇德新材,2.6,84160000,2021-09-23
605296,神农集团,2.5,400229012,2021-09-22
920526,凯华材料,1.5,62000000,2021-09-23
300099,尤洛卡,1.0,667335255,2021-09-23
300403,汉宇集团,0.5,603000000,2021-09-24
920445,龙竹科技,1.5,115065800,2021-09-24
920267,鑫汇科,6.0,42982941,2021-09-27
600273,嘉化能源,2.5,1432730543,2021-09-24
605589,圣泉集团,2.5,774776800,2021-09-24
300990,同飞股份,8.0,52000000,2021-09-24
920976,视声智能,3.0,33781000,2021-09-27
001206,依依股份,8.0,94333576,2021-09-24
002563,森马服饰,2.5,2694090160,2021-09-28
605028,世茂能源,5.0,160000000,2021-09-27
300708,聚灿光电,0.2,302017637,2021-09-29
920799,艾融软件,1.0,140769250,2021-09-28
600390,五矿资本,2.48,4498065459,2021-09-27
300983,尤安设计,12.0,80000000,2021-09-28
605189,富春染织,5.0,124800000,2021-09-27
002249,大洋电机,0.9,2365530164,2021-09-28
920270,天铭科技,6.5,33590000,2021-09-30
301018,申菱环境,1.5,240010000,2021-09-27
002595,豪迈科技,3.75,800000000,2021-09-29
920717,瑞星股份,1.16279,86000000,2021-09-30
605056,咸亨国际,4.0,400010000,2021-09-28
300998,宁波方正,1.0,106400000,2021-09-29
688028,沃尔德,2.8,80000000,2021-09-28
300573,兴齐眼药,2.5,82332600,2021-09-29
603797,联泰环保,2.0,584061318,2021-09-29
688598,金博股份,5.0,80200000,2021-09-30
300981,中红医疗,15.0,166670000,2021-09-30
001203,大中矿业,4.0,1508000000,2021-09-30
605305,中际联合,5.05,110000000,2021-09-30
605011,杭州热电,1.8,400100000,2021-09-29
300601,康泰生物,3.0,687032744,2021-09-29
920230,欧康医药,1.0,57545423,2021-09-30
920227,美登科技,5.0,30000000,2021-09-30
301023,奕帆传动,2.0,37333500,2021-09-29
301028,鼎熔岩,1.6,378912000,2021-09-30
688667,菱电电控,6.0,51600000,2021-09-29
603511,爱慕股份,4.5,400010000,2021-09-30
002747,埃斯顿,0.45,868638373,2021-09-30
603321,梅轮电梯,0.5,307000000,2021-09-30
600327,大东方,2.5,884779518,2021-09-30
300192,科德教育,3.0,329143329,2021-09-30
002651,利君股份,1.5,1033460000,2021-09-30
920566,梓橦宫,3.0,73280540,2021-10-14
920204,沪江材料,3.5,22765700,2021-10-12
001211,双枪科技,5.0,72000000,2021-10-08
603197,保隆科技,4.6,205479518,2021-10-13
300634,彩讯股份,0.6,444011100,2021-10-13
000761,本钢板材,4.728471,4108157357,2021-10-13
000552,甘肃能化,1.0,2286971050,2021-10-12
920075,柏星龙,1.928566,51852000,2021-10-12
600760,中航沈飞,0.6,1960544999,2021-10-14
301008,宏昌科技,6.0,66666667,2021-10-13
688499,利元亨,3.2,88000000,2021-10-13
920770,艾能聚,5.0,107132175,2021-10-15
603058,永吉股份,2.5,419074400,2021-10-13
601086,国芳集团,5.0,666000000,2021-10-14
603897,长城科技,10.0,183413673,2021-10-15
001208,华菱线缆,1.0,534424000,2021-10-13
920221,易实精密,4.0,68000000,2021-10-18
920876,慧为智能,1.5,47880000,2021-10-15
002507,涪陵榨菜,3.0,887630022,2021-10-18
