code,date,amount,kind,list_date
920065,2026-07-29,425250000.0,ipo,2026-07-29
688825,2026-07-27,57918847345.28,ipo,2026-07-27
920238,2026-07-24,341822106.0,ipo,2026-07-24
920176,2026-07-27,195672800.0,ipo,2026-07-27
688806,2026-07-21,998924678.8800001,ipo,2026-07-21
920079,2026-07-22,718000000.0,ipo,2026-07-22
920117,2026-07-16,400461853.48999995,ipo,2026-07-16
920081,2026-07-10,735110000.0,ipo,2026-07-10
920189,2026-07-08,172649400.0,ipo,2026-07-08
301583,2026-07-10,1047926359.8000001,ipo,2026-07-10
920136,2026-07-09,385600000.0,ipo,2026-07-09
920222,2026-06-30,129627239.0,ipo,2026-06-30
001248,2026-07-02,21304348050.0,ipo,2026-07-02
920193,2026-07-02,238560000.0,ipo,2026-07-02
920072,2026-06-29,231176000.0,ipo,2026-06-29
688797,2026-06-24,1729935056.0,ipo,2026-06-24
001399,2026-06-26,7385408756.879999,ipo,2026-06-26
920126,2026-06-15,362390800.0,ipo,2026-06-15
920083,2026-06-11,215362610.85,ipo,2026-06-11
301669,2026-06-09,849600000.0,ipo,2026-06-09
920206,2026-06-08,241476944.0,ipo,2026-06-08
920211,2026-06-05,161216000.0,ipo,2026-06-05
920218,2026-05-29,285463103.9,ipo,2026-05-29
920161,2026-05-27,313126185.0,ipo,2026-05-27
688635,2026-05-27,959649149.9999999,ipo,2026-05-27
920220,2026-05-22,374595019.08,ipo,2026-05-22
603435,2026-05-22,724960000.0,ipo,2026-05-22
001237,2026-05-22,1975299317.08,ipo,2026-05-22
001365,2026-05-18,2148010000.0,ipo,2026-05-18
920096,2026-05-18,259740000.0,ipo,2026-05-18
001393,2026-05-15,1893686686.92,ipo,2026-05-15
920178,2026-05-15,405099924.59999996,ipo,2026-05-15
603407,2026-05-11,568260000.0,ipo,2026-05-11
301531,2026-05-11,730613422.0,ipo,2026-05-11
920200,2026-05-07,471487799.99999994,ipo,2026-05-07
920186,2026-04-29,842920000.0,ipo,2026-04-29
301599,2026-04-30,900533400.0,ipo,2026-04-30
920156,2026-04-27,504831600.0,ipo,2026-04-27
688808,2026-04-24,2101586693.9600003,ipo,2026-04-24
920125,2026-04-24,223695000.0,ipo,2026-04-24
001312,2026-04-21,1072166678.9200001,ipo,2026-04-21
920191,2026-04-20,341938500.0,ipo,2026-04-20
688820,2026-04-21,5027574068.16,ipo,2026-04-21
301513,2026-04-17,666500000.0,ipo,2026-04-17
