date,open,high,low,close,volume
2011-03-25,2.932,2.974,2.931,2.965,35462392
2011-03-28,2.962,2.991,2.96,2.965,15422599
2011-03-29,2.96,2.98,2.935,2.936,1501941
2011-03-30,2.931,2.971,2.92,2.94,903044
2011-03-31,2.931,2.95,2.904,2.918,1171951
2011-04-01,2.92,2.955,2.916,2.955,582545
2011-04-06,2.955,2.993,2.955,2.987,2971917
2011-04-07,2.987,2.996,2.976,2.987,1060120
2011-04-08,2.988,3.016,2.988,3.016,2542584
2011-04-11,3.015,3.042,3.0,3.005,3763151
2011-04-12,3.0,3.022,2.991,3.004,1575395
2011-04-13,2.992,3.038,2.985,3.035,1254527
2011-04-14,3.035,3.048,3.026,3.029,1297114
2011-04-15,3.023,3.048,3.005,3.035,4136579
2011-04-18,3.004,3.044,3.004,3.04,830244
2011-04-19,3.023,3.023,2.981,2.983,384784
2011-04-20,2.989,3.006,2.971,3.0,739120
2011-04-21,2.978,3.028,2.978,3.012,297208
2011-04-22,2.998,3.01,2.982,3.001,358312
2011-04-25,2.981,2.981,2.953,2.963,492466
2011-04-26,2.942,2.959,2.932,2.934,373691
2011-04-27,2.944,2.954,2.901,2.928,438009
2011-04-28,2.908,2.957,2.881,2.891,1646241
2011-04-29,2.893,2.905,2.873,2.905,208674
2011-05-03,2.886,2.929,2.882,2.929,296988
2011-05-04,2.872,2.913,2.854,2.855,267555
2011-05-05,2.83,2.863,2.83,2.863,145046
2011-05-06,2.851,2.858,2.834,2.855,130100
2011-05-09,2.857,2.87,2.848,2.859,58522
2011-05-10,2.859,2.872,2.851,2.867,60527
2011-05-11,2.868,2.885,2.846,2.868,158718
2011-05-12,2.843,2.868,2.837,2.84,229658
2011-05-13,2.858,2.86,2.802,2.86,656934
2011-05-16,2.859,2.865,2.833,2.845,103400
2011-05-17,2.818,2.861,2.807,2.845,551500
2011-05-18,2.846,2.866,2.836,2.865,105458
2011-05-19,2.863,2.868,2.853,2.853,48400
2011-05-20,2.853,2.855,2.832,2.855,12818
2011-05-23,2.834,2.834,2.735,2.773,1653645
2011-05-24,2.772,2.772,2.735,2.771,108400
2011-05-25,2.75,2.765,2.737,2.741,81423
2011-05-26,2.741,2.757,2.737,2.739,530768
2011-05-27,2.735,2.735,2.713,2.714,593358
2011-05-30,2.655,2.83,2.655,2.707,563433
2011-05-31,2.703,2.741,2.699,2.74,636157
2011-06-01,2.738,2.75,2.738,2.74,486183
2011-06-02,2.72,2.72,2.683,2.705,1030399
2011-06-03,2.702,2.736,2.702,2.72,665854
2011-06-07,2.732,2.742,2.72,2.74,566438
2011-06-08,2.83,2.83,2.72,2.752,177735
