date,nav,daily_ret,acc_nav
2021-08-24,1.583,0.0,1.583
2021-08-25,1.591,0.51,1.591
2021-08-26,1.572,-1.19,1.572
2021-08-27,1.587,0.95,1.587
2021-08-30,1.596,0.57,1.596
2021-08-31,1.606,0.63,1.606
2021-09-01,1.618,0.75,1.618
2021-09-02,1.638,1.24,1.638
2021-09-03,1.632,-0.37,1.632
2021-09-06,1.649,1.04,1.649
2021-09-07,1.671,1.33,1.671
2021-09-08,1.67,-0.06,1.67
2021-09-09,1.679,0.54,1.679
2021-09-10,1.685,0.36,1.685
2021-09-13,1.695,0.59,1.695
2021-09-14,1.669,-1.53,1.669
2021-09-15,1.664,-0.3,1.664
2021-09-16,1.645,-1.14,1.645
2021-09-17,1.648,0.18,1.648
2021-09-22,1.655,0.42,1.655
2021-09-23,1.656,0.06,1.656
2021-09-24,1.639,-1.03,1.639
2021-09-27,1.636,-0.18,1.636
2021-09-28,1.648,0.73,1.648
2021-09-29,1.621,-1.64,1.621
2021-09-30,1.631,0.62,1.631
2021-10-08,1.644,0.8,1.644
2021-10-11,1.648,0.24,1.648
2021-10-12,1.633,-0.91,1.633
2021-10-13,1.635,0.12,1.635
2021-10-14,1.629,-0.37,1.629
2021-10-15,1.637,0.49,1.637
2021-10-18,1.631,-0.37,1.631
2021-10-19,1.638,0.43,1.638
2021-10-20,1.635,-0.18,1.635
2021-10-21,1.643,0.49,1.643
2021-10-22,1.64,-0.18,1.64
2021-10-25,1.651,0.67,1.651
2021-10-26,1.643,-0.48,1.643
2021-10-27,1.626,-1.03,1.626
2021-10-28,1.605,-1.29,1.605
2021-10-29,1.615,0.62,1.615
2021-11-01,1.614,-0.06,1.614
2021-11-02,1.591,-1.43,1.591
2021-11-03,1.588,-0.19,1.588
2021-11-04,1.599,0.69,1.599
2021-11-05,1.583,-1.0,1.583
2021-11-08,1.585,0.13,1.585
2021-11-09,1.589,0.25,1.589
2021-11-10,1.583,-0.38,1.583
2021-11-11,1.6,1.07,1.6
2021-11-12,1.604,0.25,1.604
2021-11-15,1.601,-0.19,1.601
2021-11-16,1.592,-0.56,1.592
2021-11-17,1.597,0.31,1.597
2021-11-18,1.59,-0.44,1.59
2021-11-19,1.61,1.26,1.61
2021-11-22,1.62,0.62,1.62
2021-11-23,1.623,0.19,1.623
2021-11-24,1.624,0.06,1.624
2021-11-25,1.621,-0.18,1.621
2021-11-26,1.612,-0.56,1.612
2021-11-29,1.61,-0.12,1.61
2021-11-30,1.613,0.19,1.613
2021-12-01,1.619,0.37,1.619
2021-12-02,1.618,-0.06,1.618
2021-12-03,1.633,0.93,1.633
2021-12-06,1.625,-0.49,1.625
2021-12-07,1.628,0.18,1.628
2021-12-08,1.645,1.04,1.645
2021-12-09,1.659,0.85,1.659
2021-12-10,1.653,-0.36,1.653
2021-12-13,1.657,0.24,1.657
2021-12-14,1.649,-0.48,1.649
2021-12-15,1.646,-0.18,1.646
2021-12-16,1.66,0.85,1.66
2021-12-17,1.642,-1.08,1.642
2021-12-20,1.625,-1.04,1.625
2021-12-21,1.637,0.74,1.637
2021-12-22,1.637,0.0,1.637
2021-12-23,1.649,0.73,1.649
2021-12-24,1.639,-0.61,1.639
2021-12-27,1.639,0.0,1.639
2021-12-28,1.643,0.24,1.643
2021-12-29,1.628,-0.91,1.628
2021-12-30,1.639,0.68,1.639
2021-12-31,1.646,0.43,1.646
2022-01-04,1.648,0.12,1.648
2022-01-05,1.635,-0.79,1.635
2022-01-06,1.631,-0.24,1.631
2022-01-07,1.631,0.0,1.631
2022-01-10,1.637,0.37,1.637
2022-01-11,1.626,-0.67,1.626
2022-01-12,1.64,0.86,1.64
2022-01-13,1.623,-1.04,1.623
2022-01-14,1.607,-0.99,1.607
2022-01-17,1.616,0.56,1.616
2022-01-18,1.628,0.74,1.628
2022-01-19,1.625,-0.18,1.625
2022-01-20,1.623,-0.12,1.623
2022-01-21,1.608,-0.92,1.608
2022-01-24,1.608,0.0,1.608
2022-01-25,1.57,-2.36,1.57
2022-01-26,1.582,0.76,1.582
2022-01-27,1.556,-1.64,1.556
2022-01-28,1.539,-1.09,1.539
2022-02-07,1.569,1.95,1.569
2022-02-08,1.582,0.83,1.582
2022-02-09,1.594,0.76,1.594
2022-02-10,1.6,0.38,1.6
2022-02-11,1.592,-0.5,1.592
2022-02-14,1.575,-1.07,1.575
2022-02-15,1.58,0.32,1.58
2022-02-16,1.587,0.44,1.587
2022-02-17,1.589,0.13,1.589
2022-02-18,1.6,0.69,1.6
2022-02-21,1.6,0.0,1.6
2022-02-22,1.586,-0.88,1.586
2022-02-23,1.596,0.63,1.596
