date,open,high,low,close,volume
2004-06-16,0.7275,0.7691,0.6776,0.6901,439775000.0
2004-06-17,0.6901,0.7275,0.686,0.7026,83801500.0
2004-06-18,0.6984,0.7067,0.6569,0.6693,36598000.0
2004-06-21,0.686,0.686,0.6569,0.6652,22817000.0
2004-06-23,0.6735,0.74,0.6693,0.7358,55016000.0
2004-06-24,0.7442,0.7525,0.7192,0.7442,34723000.0
2004-06-25,0.7442,0.7566,0.7234,0.7317,21212500.0
2004-06-28,0.7275,0.7317,0.7067,0.7151,14746000.0
2004-06-29,0.7151,0.7358,0.7151,0.7192,15081500.0
2004-06-30,0.7234,0.7358,0.7151,0.7151,12217000.0
2004-07-02,0.7067,0.7275,0.6943,0.7234,13026000.0
2004-07-05,0.7192,0.7317,0.7192,0.7275,14264000.0
2004-07-06,0.7275,0.74,0.7234,0.7317,15429000.0
2004-07-07,0.7234,0.7275,0.7067,0.7109,13135000.0
2004-07-08,0.7067,0.7067,0.6776,0.6818,21149000.0
2004-07-09,0.6776,0.686,0.6693,0.6776,9376000.0
2004-07-12,0.6776,0.686,0.661,0.661,11970000.0
2004-07-13,0.6652,0.6735,0.661,0.6693,10934000.0
2004-07-14,0.6693,0.6693,0.6236,0.6278,19638000.0
2004-07-15,0.6361,0.6361,0.5903,0.6111,11319000.0
2004-07-16,0.607,0.6236,0.6028,0.6153,4126500.0
2004-07-19,0.6153,0.6278,0.5987,0.6278,5321000.0
2004-07-20,0.6194,0.6278,0.6153,0.6236,3436000.0
2004-07-21,0.6361,0.6444,0.6236,0.6319,10495000.0
2004-07-22,0.6153,0.6236,0.582,0.5903,13831000.0
2004-07-23,0.5903,0.5945,0.582,0.5862,4668000.0
2004-07-26,0.5654,0.582,0.5612,0.5612,7439000.0
2004-07-27,0.5654,0.6194,0.5612,0.6194,17906000.0
2004-07-28,0.6194,0.6236,0.6028,0.6111,4205000.0
2004-07-29,0.6028,0.6278,0.5987,0.6236,3498000.0
2004-07-30,0.6319,0.6444,0.6194,0.6402,10065000.0
2004-08-02,0.6402,0.6444,0.6153,0.6444,5352000.0
2004-08-03,0.6485,0.661,0.6444,0.661,12739000.0
2004-08-04,0.6527,0.6527,0.6361,0.6444,2849000.0
2004-08-05,0.6485,0.6693,0.6485,0.661,6785000.0
2004-08-06,0.6527,0.6735,0.6527,0.6652,4334000.0
2004-08-09,0.6652,0.6652,0.6569,0.6652,4497000.0
2004-08-10,0.6652,0.6735,0.6444,0.6444,4209000.0
2004-08-11,0.6527,0.6527,0.6111,0.6153,6565000.0
2004-08-12,0.6111,0.6236,0.6028,0.6236,5173000.0
2004-08-13,0.6111,0.6236,0.6111,0.6236,977000.0
2004-08-16,0.6111,0.6278,0.5987,0.6236,2665000.0
2004-08-17,0.6236,0.6236,0.6111,0.6153,893500.0
2004-08-18,0.6236,0.6236,0.6153,0.6194,676000.0
2004-08-19,0.6194,0.6319,0.6111,0.6153,3979000.0
2004-08-20,0.6194,0.6194,0.6111,0.6194,3456000.0
2004-08-23,0.6194,0.6236,0.5945,0.607,2150000.0
2004-08-24,0.607,0.607,0.5903,0.5987,3268000.0
2004-08-25,0.6028,0.6028,0.5779,0.582,4818000.0
2004-08-26,0.5903,0.5945,0.5612,0.5654,8416000.0
2004-08-27,0.5737,0.5862,0.5695,0.582,9896000.0
2004-08-30,0.582,0.5903,0.5779,0.582,2126000.0
2004-08-31,0.5862,0.6111,0.5779,0.607,2290000.0
2004-09-01,0.6111,0.6111,0.5987,0.6028,2072000.0
2004-09-02,0.607,0.607,0.5987,0.6028,3049000.0
2004-09-03,0.607,0.607,0.5945,0.5987,1870000.0
2004-09-06,0.5987,0.6111,0.5945,0.607,2437000.0
2004-09-07,0.6111,0.6278,0.6111,0.6278,8060000.0
2004-09-08,0.6236,0.6236,0.6111,0.6194,1711000.0
2004-09-09,0.6111,0.6153,0.607,0.607,692000.0
2004-09-10,0.607,0.6153,0.6028,0.6153,622000.0
2004-09-13,0.6028,0.6028,0.5737,0.5779,7420000.0
2004-09-14,0.582,0.607,0.582,0.5987,3611000.0
2004-09-15,0.6153,0.6361,0.6111,0.6278,14480000.0
2004-09-16,0.6319,0.6527,0.6236,0.6485,12604000.0
2004-09-17,0.6527,0.6527,0.6402,0.6402,3699000.0
2004-09-20,0.6444,0.6485,0.6278,0.6402,2416000.0
2004-09-21,0.6485,0.661,0.6361,0.6402,4143000.0
2004-09-22,0.6361,0.6402,0.6319,0.6361,1521000.0
2004-09-23,0.6319,0.6485,0.6319,0.6444,1612000.0
2004-09-24,0.6444,0.6444,0.6278,0.6319,4383000.0
